class_id = 0, name = bio_hexagon, ap = 92.42%            (TP = 95, FP = 22) 
class_id = 1, name = eco_stars, ap = 94.58%      (TP = 80, FP = 21) 
class_id = 2, name = vegan_international, ap = 86.36%            (TP = 36, FP = 8) 
class_id = 3, name = fairtrade_international, ap = 99.17%        (TP = 15, FP = 4) 
class_id = 4, name = rainforest_alliance, ap = 92.26%            (TP = 7, FP = 1) 
class_id = 5, name = bioland, ap = 96.38%        (TP = 29, FP = 5) 
class_id = 6, name = regional_fenster, ap = 98.61%       (TP = 8, FP = 1) 
class_id = 7, name = ohne_gentechnik, ap = 95.36%        (TP = 24, FP = 4) 
class_id = 8, name = naturland, ap = 100.00%     (TP = 17, FP = 3) 
class_id = 9, name = nutriscore, ap = 93.20%     (TP = 55, FP = 11) 
class_id = 10, name = haltungsform, ap = 96.25%          (TP = 34, FP = 3) 
class_id = 11, name = speciality_eu, ap = 98.60%         (TP = 10, FP = 2) 
class_id = 12, name = made_for_recyling, ap = 89.68%     (TP = 12, FP = 1) 
class_id = 13, name = edeka_bio, ap = 85.72%     (TP = 23, FP = 5) 
class_id = 14, name = fsc, ap = 91.07%           (TP = 6, FP = 4) 
class_id = 15, name = igp_eu, ap = 87.50%        (TP = 17, FP = 7) 
class_id = 16, name = dop_eu, ap = 99.38%        (TP = 17, FP = 5) 
class_id = 17, name = asc_fisch, ap = 100.00%            (TP = 5, FP = 0) 
class_id = 18, name = msc_fisch, ap = 72.99%     (TP = 7, FP = 2) 
class_id = 19, name = bw_bio, ap = 100.00%       (TP = 8, FP = 1) 
class_id = 20, name = bio_initiative_huhn_hahn, ap = 83.33%      (TP = 3, FP = 3) 
class_id = 21, name = oeko_test_sehr_gut, ap = 50.00%            (TP = 1, FP = 0) 
class_id = 22, name = vegetarisch_international, ap = 88.89%     (TP = 4, FP = 0) 
class_id = 23, name = alnatura_bio, ap = 87.52%          (TP = 6, FP = 1) 
class_id = 24, name = green_point, ap = 95.11%           (TP = 19, FP = 1) 
class_id = 25, name = demeter, ap = 78.06%       (TP = 10, FP = 3) 
