class_id = 0, name = bio_hexagon, ap = 88.69%            (TP = 101, FP = 22) 
class_id = 1, name = eco_stars, ap = 95.55%      (TP = 77, FP = 10) 
class_id = 2, name = vegan_international, ap = 93.11%            (TP = 37, FP = 5) 
class_id = 3, name = fairtrade_international, ap = 98.20%        (TP = 17, FP = 2) 
class_id = 4, name = rainforest_alliance, ap = 94.27%            (TP = 5, FP = 0) 
class_id = 5, name = bioland, ap = 74.53%        (TP = 20, FP = 6) 
class_id = 6, name = regional_fenster, ap = 84.62%       (TP = 10, FP = 0) 
class_id = 7, name = ohne_gentechnik, ap = 95.13%        (TP = 22, FP = 3) 
class_id = 8, name = naturland, ap = 89.92%      (TP = 18, FP = 4) 
class_id = 9, name = nutriscore_b, ap = 95.39%           (TP = 16, FP = 2) 
class_id = 10, name = nutriscore_c, ap = 78.30%          (TP = 15, FP = 4) 
class_id = 11, name = haltungsform_3, ap = 100.00%       (TP = 7, FP = 0) 
class_id = 12, name = speciality_eu, ap = 70.53%         (TP = 9, FP = 11) 
class_id = 13, name = made_for_recyling, ap = 60.79%     (TP = 10, FP = 5) 
class_id = 14, name = edeka_bio, ap = 78.35%     (TP = 28, FP = 6) 
class_id = 15, name = fsc, ap = 100.00%          (TP = 3, FP = 0) 
class_id = 16, name = haltungsform_4, ap = 99.63%        (TP = 28, FP = 6) 
class_id = 17, name = haltungsform_2, ap = 100.00%       (TP = 6, FP = 0) 
class_id = 18, name = igp_eu, ap = 87.56%        (TP = 18, FP = 4) 
class_id = 19, name = dop_eu, ap = 86.52%        (TP = 12, FP = 4) 
class_id = 20, name = nutriscore_a, ap = 82.98%          (TP = 15, FP = 1) 
class_id = 21, name = asc_fisch, ap = 98.90%     (TP = 11, FP = 0) 
class_id = 22, name = msc_fisch, ap = 87.50%     (TP = 8, FP = 2) 
class_id = 23, name = bw_bio, ap = 94.59%        (TP = 12, FP = 5) 
class_id = 24, name = bio_initiative_huhn_hahn, ap = 100.00%     (TP = 8, FP = 3) 
class_id = 25, name = oeko_test_sehr_gut, ap = 46.94%            (TP = 0, FP = 0) 
class_id = 26, name = vegetarisch_international, ap = 84.86%     (TP = 3, FP = 0) 
class_id = 27, name = nutriscore_d, ap = 36.76%          (TP = 3, FP = 2) 
class_id = 28, name = alnatura_bio, ap = 41.67%          (TP = 0, FP = 0) 
class_id = 29, name = green_point, ap = 81.18%           (TP = 15, FP = 4) 
class_id = 30, name = demeter, ap = 66.45%       (TP = 9, FP = 4) 
